"instName","summary","museumPropertyName","log","lat","formatted_address","level","exact"
"浙东革命根据地纪念馆","中共浙东区委旧址原系晚清砖木结构民居，现属全国重点文物保护单位。1992年更名为浙东革命根据地纪念馆，由中共浙江省省委书记王芳题写馆名。现馆内设置有浙东抗日根据地概况总序厅，展出了抗日战争时期中共中央开辟浙东的战略决策、浙东区党委成立、“坚持三北，开辟四明”、浙东抗日根据地的巩固与发展、“党的建设与统一战线、隐蔽战线工作”、反攻作战与奉命北撤六个单元内容，生动形象地反映了浙东革命斗争的历史。","行业","121.07695288566254","29.885932997925128","浙江省杭州市萧山区浙东村","村庄","1"
"武汉大唐陶瓷博物馆","武汉大唐陶瓷博物馆位于武汉市最繁华的江汉路步行街177号俊华大厦A座七层，馆藏面积近1000平方米，藏品备有专业的接待讲解人员，提供免费参观。","非国有","114.2825163308337","30.58583600128628","湖北省武汉市江汉区陶瓷博物馆","兴趣点","1"
"南京金都金箔技艺博物馆","金箔锻制技艺是2006年国家级非遗项目，金箔生产工艺独特，技术要求高，锻制过程系用真金经过十二道工序打制岀薄如蝉翼，软似绸缎匀如水的金箔。万张金箔仅有一毫米厚的金箔。办馆目的是传承历史技艺，收集保存金箔技艺相关文物和工用具，研发金箔在生活中的用途及旅游工艺品。设立科教基地教育中小学生爱祖国的思想，体验爱劳动的精神。","非国有","119.07500934400701","32.20745602553064","江苏省南京市","市","1"
"大新县博物馆","大新县博物馆前身为文物管理所，建于1983年，1996年更名大新县博物馆，位于广西崇左市大新县桃城镇民权路2号。馆内收藏国家一级珍贵文物大石铲1件，国家二级珍贵文物战国青铜矛等4件，国家三级珍贵文物198件，其它各种珍贵文物近千件。大新县博物馆是一座以提供解读大新县历史、民俗的实物和文献资料的综合馆，展示了当地山水文化、历史文化、民族文化的丰富内涵和独特魅力，也是打造宣传大新县的文化名片。陈列展览有《大新县风光、历史与民俗展览》，是以文物为载体，以文化为主线，结合照片、绘画、模型等辅助展品，将大新县的山水风光、社会历史、土司制度、民族民俗文化等重点进行综合展陈，彰显地方特色。2010年8月、10月大新县博物馆分别荣获崇左市级、自治区级爱国主义教育基地。出版了《大新旅游指南》、《山水画廊》、《齐心能把海填平》、《上甲史俗》、《大新县民间故事集成》、《大新县民间歌谣集成》、《足迹·大新县二普不可移动文物资料汇编》、《浏览天书·大新民间宗教经书提要汇编》、《齐心能把海填平·大新山歌汇编》、《广西崇左市文集博文集》、《广西崇左边境县市三普资料汇集》等，这些均是人们了解大新不可多得的珍贵文字资料。大新县博物馆为免费开放，全面免费开放让更多的公众走进博物馆，享受我县文化成果。我馆通过自办、联办等多种形式，采取基本展览、常规展览相结合的这一贴近群众的办法进行开展。举办了《大新县出土文物展》、《中共大新县党史图片展》、《大美大新风光图片展》等，向社会各界人士传播家乡悠久历史、灿烂的民族民俗文化，以及自然科学知识，了解人类赖以生存的地球家园，从而培育他们热爱祖国、热爱家乡、热爱科学的思想品质，使人们从中得到了革命传统教育、爱国主义教育。","行业","107.19369413293883","22.836011747225317","广西壮族自治区崇左市大新县大新县博物馆","兴趣点","1"
"山西博物院","山西博物院位于太原市秀美的汾河西畔，占地168亩，建筑面积5.1万平方米，总投资近4亿元人民币，是目前国内屈指可数的大型现代化、综合性博物馆之一，为国家“九五”重点建设工程，也是山西省建国以来投资规模最大的文化基础设施。山西博物院荟萃了全省文物精华，珍贵藏品约40万件，是山西省最大的文物收藏、保护、研究和展示中心。藏品包括新石器时代陶寺遗址文物、商代方国文物、两周时期晋及三晋文物、北朝文物、石刻造像、山西地方陶瓷、金元戏曲文物、明清晋商文物等颇具特色。此外，我院的图书馆占地面积1000多平方米，基础设备、设施完备，管理制度完善，院藏图书计16万余册，古籍11万余册，其中善本888函、5043册。最近还被文化部社会文化司图书馆处评为“全国古籍重点保护单位”。","文物","112.52489875058573","37.86489546448088","山西省太原市万柏林区山西博物院","兴趣点","1"
"横渡长江博物馆","横渡长江博物馆位于汉口江滩粤汉码头，是由原渡江观礼台维修改建而成，总建筑面积4975平方米，其中展厅面积3800平方米。该馆是以横渡长江为主题，集文化展示、科普教育、观江休闲等功能于一体的公共场馆。博物馆由序厅、展示厅、体验厅和观景区等组成。展厅基本陈列分为“击水中流”、“情系长江”、“大江弄潮”三个单元，通过大量珍贵的照片、视频、实物等资料，结合大幅油画、雕塑、场景等艺术创作，再现一代伟人毛泽东畅游长江的壮举，展示武汉群众性渡江的悠久历史和活动盛况。博物馆六楼为临展厅，可举办各类文化展览，以丰富博物馆的","行业","114.30184377055629","30.593263081447375","浙江省台州市三门县横渡","村庄","1"
"枣阳市博物馆","枣阳市博物馆馆址位于前进路西城开发区西环一路52号，占地面积2000平米，建筑面积700平米，藏品总量5835余件套。目前位于原枣阳市第二招待所，现枣阳市中百仓储后的清代建筑“香草亭”作为枣阳市博物馆唯一展厅，2009年9月28日正式面向社会免费开放，展厅面积为430平米，基本陈列为5项：雕龙碑古人类遗址陈列展、九连墩古墓群图片展、汉光武刘秀故里筑图片展、明清古建筑图片展、西汉民俗文物陈列展。枣阳市博物馆作为爱国教育基地，为了充分发挥社会职能，全年开放天数达360天，免费接待游客5.4万余人。","文物","112.75647508289316","32.13311527125832","湖北省襄阳市枣阳市枣阳市博物馆","兴趣点","1"
"江西省庐山博物馆","庐山博物馆位于风景秀丽的庐山风景名胜区芦林湖畔，是研究、宣传、展示庐山政治、历史、文化、自然遗存的地方综合性博物馆，是庐山一处重要的人文景观，2003年4月15日起实行免费开放，是来山游客了解庐山、接受教育、旅游休闲的场所。基本陈列有“跃上葱茏——庐山历史文化陈列”。","文物","115.97168263626415","29.554036430679094","江西省九江市庐山市庐山博物馆","兴趣点","1"
"艾青纪念馆","为了纪念艾青，我市于1998年10月建成了艾青纪念馆并实行对外开放，是当时我国唯一的一所全面展示艾青生平与事迹，艾青建树与业绩的场馆。艾青纪念馆新馆由首位获有“建筑界诺贝尔奖”之称——“普利兹克建筑奖”的中国建筑师王澍设计，经建筑改造装修、展陈设计施工等多个环节，面貌焕然一新。新馆总建筑面积约2700平方米，内部设有6个展厅，1个多功能报告厅以及展览部、艾青资料征集室等部室。","文物","119.65216161390235","29.101777656760728","[]","[]","1"
"桂林甑皮岩遗址博物馆","甑皮岩遗址位于广西桂林市象山区凯风路与万福路交汇西北处，是华南乃至东南亚地区新石器时代早期洞穴遗址的典型代表，面积300平方米，1965年普查时发现，1973年进行第一次发掘，2001年进行第二次发掘，发现石器加工场、墓葬、灰坑等遗迹，出土石器、陶器、骨器、蚌器、角器、牙器等遗物2800多件，遗址年代距今12000年至距今7000年，2001年被公布为全国重点文物保护单位，2013年被列入国家大遗址名录。甑皮岩遗址博物馆成立于1978年12月，是中国第三个建成开放的遗址博物馆。2013年被国家文物局公布为华南首个国家考古遗址公园。公园占地216亩，由遗址保护展示区和综合服务区组成，目前参观游览项目有甑皮岩遗址考古发掘现场、《桂林·山水家园》基本陈列、小平足迹馆（邓小平与甑皮岩图片展览）、甑皮岩先民生产生活雕塑、公众考古从娃娃抓起图片展、模拟考古乐园（古陶制作、钻木取火、原始狩猎等互动体验项目）、登山观景等。","文物","110.27981392711561","25.215294050320924","广西壮族自治区桂林市象山区甑皮岩遗址博物馆","兴趣点","1"
